C:U	14	H/H_qe	cis-W/W	1
C:A	14	H/H_qe	NA	2
A:U	14	H_i/H	NA	2
A:G	14	H_i/H	cis-W/W	1
A:C	14	H/H	cis-W/W	3
A:A	14	H_qe/H	NA	1
U:A	13	H/H_qe	cis-W/W	1
C:A	13	H/H	trans-H/S	1
A:G	13	H/H_qe	cis-W/W	3
A:A	13	H_i/H_i	trans-W/W	2
A:A	13	H_i/H_i	trans-H/W	2
5MU:A	13	H/H_i	trans-W/H	2
U:C	12	H_qe/H	trans-S/W	2
U:C	12	H_e/H_e	trans-S/H	1
U:A	12	H_e/H_e	trans-W/H	1
U:A	12	H_e/H_e	trans-H/H	1
G:G	12	H/H	trans-H/S	1
G:C	12	H/H_qe	cis-W/W	1
A:U	12	H_ie/H_ie	NA	3
U:G	11	H_e/H_ie	trans-S/W	3
G:U	11	H/H	trans-S/H	1
G:G	11	H_ie/H_e	NA	3
G:C	11	H_qe/H	NA	2
A:U	11	H/H_i	trans-H/W	3
A:A	11	H/H_qe	trans-S/H	1
A:A	11	H/H_i	trans-W/H	1
5MU:1MA	11	H/H_i	trans-W/H	2
U:G	10	H/H	cis-S/W	3
U:G	10	H_e/H_e	trans-S/W	3
G:G	10	H_e/H_ie	NA	2
G:C	10	H_qe/H	cis-W/W	4
G:A	10	H_qe/H	cis-W/W	3
G:A	10	H/H_qe	NA	3
G:A	10	H/H	NA	4
C:G	10	H/H_qe	cis-W/W	3
C:A	10	H_qe/H_qe	cis-W/W	2
C:A	10	H/H_qe	NA	3
C:A	10	H/H_qe	cis-W/W	2
A:U	10	H_i/H_qe	cis-W/W	1
A:U	10	H_i/H_i	trans-H/W	2
A:A	10	H_i/H_qe	cis-H/S	1
A:A	10	H/H	trans-W/S	2
A:A	10	H/H	trans-S/H	2
U:G	9	H_qe/H_i	cis-W/W	2
U:A	9	H_qe/H	trans-W/H	1
U:A	9	H_i/H	cis-W/H	2
G:U	9	H_qe/H	cis-W/W	4
G:U	9	H_i/H_qe	trans-W/W	2
G:U	9	H_i/H_qe	cis-S/H	1
G:C	9	H_qe/H	cis-W/W	3
G:C	9	H/H_qe	cis-W/W	3
G:C	9	H/H	NA	2
G:A	9	H/H_qe	trans-S/H	2
G:A	9	H_e/H_e	trans-W/H	2
C:U	9	H/H_i	cis-W/W	1
C:G	9	H_e/H_e	cis-W/W	1
C:C	9	H/H	trans-S/H	2
C:A	9	H_qe/H_qe	cis-W/W	1
C:A	9	H_e/H_e	trans-W/H	2
C:A	9	H_e/H_e	cis-W/W	1
A:U	9	H_qe/H	cis-W/W	3
A:C	9	H_qe/H_i	trans-H/W	3
A:A	9	H_ie/H_ie	trans-H/H	2
A:A	9	H/H_qe	trans-H/W	1
U:U	8	H/H	NA	2
U:G	8	H_e/H_ie	trans-S/W	1
U:C	8	H_qe/H_qe	cis-W/W	1
U:A	8	H_qe/H_qe	cis-W/W	1
U:A	8	H_e/H_ie	cis-W/W	1
U:A	8	H_e/H_e	cis-W/W	2
G:U	8	H/H_qe	cis-W/W	1
G:G	8	H_qe/H_i	trans-S/S	3
G:C	8	H_qe/H_qe	cis-W/W	1
G:C	8	H_e/H_e	cis-W/W	3
G:A	8	H_qe/H_qe	NA	3
G:A	8	H_qe/H_i	cis-W/H	2
G:A	8	H_e/H_ie	trans-W/H	3
G:A	8	H_e/H_ie	cis-S/W	1
G:A	8	H_e/H_e	NA	3
C:U	8	H/H_i	cis-W/W	3
C:C	8	H_i/H	cis-W/W	2
C:C	8	H/H_qe	cis-W/W	1
C:A	8	H/H	trans-W/H	2
C:A	8	H/H	trans-H/S	2
A:C	8	H_i/H	trans-H/W	2
A:C	8	H/H	trans-H/W	2
A:A	8	H_qe/H_i	cis-S/W	2
A:A	8	H_i/H	trans-W/W	2
A:A	8	H_i/H_i	cis-H/H	1
A:A	8	H/H_qe	trans-W/W	2
A:A	8	H/H_qe	trans-W/H	1
A:A	8	H/H_qe	trans-H/W	2
A:A	8	H/H_qe	trans-H/S	1
A:A	8	H/H_qe	trans-H/H	2
U:A	7	H_e/H_ie	cis-W/H	3
U:A	7	H_e/H_e	cis-S/W	1
G:G	7	H_qe/H	cis-W/W	2
G:G	7	H/H	cis-W/H	2
G:C	7	H_qe/H	cis-W/W	1
G:C	7	H_ie/H_ie	trans-W/W	3
C:A	7	H/H	trans-W/S	2
A:U	7	H_qe/H	trans-W/W	2
A:U	7	H/H_i	cis-H/W	2
A:M2G	7	H_qe/H	NA	2
A:G	7	H_qe/H_qe	cis-W/W	3
A:G	7	H_qe/H	cis-W/W	3
A:G	7	H/H	trans-H/S	1
A:G	7	H/H_qe	NA	3
A:G	7	H/H	cis-W/W	3
A:A	7	H_qe/H_qe	trans-H/H	1
U:U	6	H_qe/H_qe	cis-W/W	2
U:G	6	H/H	trans-W/W	2
U:G	6	H_e/H_ie	trans-W/H	2
U:C	6	H_qe/H	cis-W/W	1
U:A	6	H_qe/H	cis-W/W	1
U:A	6	H_i/H	NA	2
U:A	6	H/H_i	trans-W/S	1
U:A	6	H/H_i	trans-W/H	3
G:U	6	H_qe/H_i	cis-S/H	3
G:G	6	H/H_qe	cis-W/H	3
G:G	6	H_e/H_e	NA	3
G:C	6	H_qe/H_qe	cis-W/W	3
G:C	6	H_i/H_qe	NA	2
G:C	6	H_e/H_e	cis-W/W	1
G:A	6	H_e/H_e	trans-S/H	4
C:G	6	H_e/H_e	cis-W/W	3
C:C	6	H/H	NA	2
C:A	6	H_qe/H_qe	NA	2
C:A	6	H_qe/H	cis-W/W	1
C:A	6	H/H	trans-W/S	1
C:A	6	H/H	trans-S/H	1
A:U	6	H_qe/H_qe	cis-W/W	1
A:U	6	H_qe/H	NA	1
A:U	6	H_e/H_e	NA	1
A:G	6	H_qe/H_i	NA	2
A:C	6	H_qe/H	trans-W/S	1
A:C	6	H/H	NA	1
A:A	6	H_qe/H	trans-W/H	2
A:A	6	H_qe/H_qe	trans-H/H	3
A:A	6	H_i/H	trans-H/W	1
A:A	6	H_i/H_i	trans-W/H	2
U:U	5	H_ie/H_ie	trans-W/W	2
U:U	5	H_e/H_e	cis-W/W	2
U:G	5	H_qe/H	trans-W/W	1
U:G	5	H_e/H_ie	trans-W/H	3
U:A	5	H_i/H_qe	NA	1
U:A	5	H_e/H_ie	cis-W/H	1
G:U	5	H_i/H_qe	cis-S/H	3
G:U	5	H_ie/H_e	cis-S/H	2
G:U	5	H/H_qe	cis-W/W	4
G:U	5	H/H	NA	1
G:U	5	H/H	cis-W/W	5
G:C	5	H_ie/H_ie	NA	2
G:A	5	H_qe/H	trans-S/H	1
G:A	5	H_qe/H_qe	NA	2
G:A	5	H_e/H_ie	trans-S/H	3
G:A	5	H_e/H_e	NA	1
C:A	5	H/H	NA	1
C:A	5	H_e/H_e	trans-S/H	1
A:U	5	H_qe/H	cis-W/S	1
